"","reason","nsnp"
"203","Blood metabolite levels (unit increase) (hypoxanthine) (unit increase)",1
"204","Blood metabolite levels (unit increase) (indolelactate) (unit increase)",1
"205","Blood metabolite levels (unit increase) (indolepropionate) (unit increase)",1
"206","Blood metabolite levels (unit increase) (inosine) (unit increase)",1
"207","Blood metabolite levels (unit increase) (isobutyrylcarnitine) (unit increase)",2
"208","Blood metabolite levels (unit increase) (isovalerylcarnitine) (unit increase)",2
"209","Blood metabolite levels (unit increase) (kynurenine) (unit increase)",2
"210","Blood metabolite levels (unit increase) (leucine) (unit increase)",1
"211","Blood metabolite levels (unit increase) (levulinate (4-oxovalerate)) (unit increase)",1
"212","Blood metabolite levels (unit increase) (lysine) (unit increase)",1
"213","Blood metabolite levels (unit increase) (mannose) (unit increase)",1
"214","Blood metabolite levels (unit increase) (myo-inositol) (unit increase)",2
"215","Blood metabolite levels (unit increase) (N-acetylornithine) (unit increase)",1
"216","Blood metabolite levels (unit increase) (octadecanedioate) (unit increase)",1
"217","Blood metabolite levels (unit increase) (octanoylcarnitine) (unit increase)",1
"218","Blood metabolite levels (unit increase) (oleoylcarnitine) (unit increase)",1
"219","Blood metabolite levels (unit increase) (pantothenate) (unit increase)",1
"220","Blood metabolite levels (unit increase) (phenylalanine) (unit increase)",1
"221","Blood metabolite levels (unit increase) (phenyllactate (PLA)) (unit increase)",1
"222","Blood metabolite levels (unit increase) (proline) (unit increase)",1
"223","Blood metabolite levels (unit increase) (propionylcarnitine) (unit increase)",1
"224","Blood metabolite levels (unit increase) (pyroglutamine) (unit increase)",2
"225","Blood metabolite levels (unit increase) (scyllo-inositol) (unit increase)",1
"226","Blood metabolite levels (unit increase) (serine) (unit increase)",2
"227","Blood metabolite levels (unit increase) (stearate (18:0)) (unit increase)",1
"228","Blood metabolite levels (unit increase) (stearidonate (18:4n3)) (unit increase)",1
"229","Blood metabolite levels (unit increase) (succinylcarnitine) (unit increase)",4
"230","Blood metabolite levels (unit increase) (tetradecanedioate) (unit increase)",1
"231","Blood metabolite levels (unit increase) (tryptophan betaine ) (unit increase)",1
"232","Blood metabolite levels (unit increase) (tryptophan) (unit increase)",2
"233","Blood metabolite levels (unit increase) (tyrosine) (unit increase)",1
"234","Blood metabolite levels (unit increase) (urate) (unit increase)",1
"235","Blood metabolite levels (unit increase) (uridine) (unit increase)",1
"236","Blood metabolite levels (unit increase) (X-02249) (unit increase)",1
"237","Blood metabolite levels (unit increase) (X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide) (unit increase)",3
"238","Blood metabolite levels (unit increase) (X-03094) (unit increase)",3
"239","Blood metabolite levels (unit increase) (X-04499--3,4-dihydroxybutyrate) (unit increase)",1
"240","Blood metabolite levels (unit increase) (X-08402) (unit increase)",2
"241","Blood metabolite levels (unit increase) (X-09789) (unit increase)",1
"242","Blood metabolite levels (unit increase) (X-10395) (unit increase)",1
"243","Blood metabolite levels (unit increase) (X-10510) (unit increase)",1
"244","Blood metabolite levels (unit increase) (X-11247) (unit increase)",1
"245","Blood metabolite levels (unit increase) (X-11315) (unit increase)",1
"246","Blood metabolite levels (unit increase) (X-11423--O-sulfo-L-tyrosine) (unit increase)",1
"247","Blood metabolite levels (unit increase) (X-11440) (unit increase)",1
"248","Blood metabolite levels (unit increase) (X-11442) (unit increase)",1
"249","Blood metabolite levels (unit increase) (X-11444) (unit increase)",1
"250","Blood metabolite levels (unit increase) (X-11445--5-alpha-pregnan-3beta,20alpha-disulfate) (unit increase)",1
"251","Blood metabolite levels (unit increase) (X-11469) (unit increase)",2
"252","Blood metabolite levels (unit increase) (X-11470) (unit increase)",1
"253","Blood metabolite levels (unit increase) (X-11478) (unit increase)",1
"254","Blood metabolite levels (unit increase) (X-11529) (unit increase)",1
"255","Blood metabolite levels (unit increase) (X-11538) (unit increase)",1
"256","Blood metabolite levels (unit increase) (X-11550) (unit increase)",1
"257","Blood metabolite levels (unit increase) (X-11593--O-methylascorbate) (unit increase)",1
"258","Blood metabolite levels (unit increase) (X-11786--methylcysteine) (unit increase)",1
"259","Blood metabolite levels (unit increase) (X-11787) (unit increase)",1
"260","Blood metabolite levels (unit increase) (X-11792) (unit increase)",1
"261","Blood metabolite levels (unit increase) (X-11799) (unit increase)",1
"262","Blood metabolite levels (unit increase) (X-12038) (unit increase)",1
"263","Blood metabolite levels (unit increase) (X-12063) (unit increase)",1
"264","Blood metabolite levels (unit increase) (X-12092) (unit increase)",1
"265","Blood metabolite levels (unit increase) (X-12093) (unit increase)",1
"266","Blood metabolite levels (unit increase) (X-12095--N1-methyl-3-pyridone-4-carboxamide) (unit increase)",1
"267","Blood metabolite levels (unit increase) (X-12100--hydroxytryptophan) (unit increase)",1
"268","Blood metabolite levels (unit increase) (X-12244--N-acetylcarnosine) (unit increase)",4
"269","Blood metabolite levels (unit increase) (X-12441--12-hydroxyeicosatetraenoate (12-HETE)) (unit increase)",1
"270","Blood metabolite levels (unit increase) (X12442--5,8-tetradecadienoate) (unit increase)",1
"271","Blood metabolite levels (unit increase) (X-12510--2-aminooctanoic acid) (unit increase)",1
"272","Blood metabolite levels (unit increase) (X-12556) (unit increase)",2
"273","Blood metabolite levels (unit increase) (X-12627) (unit increase)",1
"274","Blood metabolite levels (unit increase) (X-12798) (unit increase)",2
"275","Blood metabolite levels (unit increase) (X-12844) (unit increase)",1
"276","Blood metabolite levels (unit increase) (X-12990--docosapentaenoic acid (n6-DPA)) (unit increase)",1
"277","Blood metabolite levels (unit increase) (X-13429) (unit increase)",1
"278","Blood metabolite levels (unit increase) (X-13431--nonanoylcarnitine) (unit increase)",2
"279","Blood metabolite levels (unit increase) (X-13435) (unit increase)",2
"280","Blood metabolite levels (unit increase) (X-13548) (unit increase)",1
"281","Blood metabolite levels (unit increase) (X-13671) (unit increase)",1
"282","Blood metabolite levels (unit increase) (X-14189--leucylalanine) (unit increase)",1
"283","Blood metabolite levels (unit increase) (X-14208--phenylalanylserine) (unit increase)",1
"284","Blood metabolite levels (unit increase) (X-14473) (unit increase)",1
"285","Blood metabolite levels (unit increase) (X-14625) (unit increase)",1
"286","Blood metabolite levels (unit increase) (X-18601) (unit increase)",1
"287","Blood metabolite levels (Urate levels) (NA)",1
"288","Blood metabolite levels (X12063 levels) (NA)",2
"289","Blood metabolite ratios (10-undecenoate (11:1n1)/X-11438) (unit increase)",2
"290","Blood metabolite ratios (3-(4-hydroxyphenyl)lactate/alpha-hydroxyisovalerate) (unit increase)",1
"291","Blood metabolite ratios (4-acetamidobutanoate/N1-methyladenosine) (unit increase)",1
"292","Blood metabolite ratios (acetylcarnitine/hexanoylcarnitine) (unit increase)",1
"293","Blood metabolite ratios (ADpSGEGDFXAEGGGVR/X-14304--leucylalanine) (unit increase)",1
"294","Blood metabolite ratios (ADSGEGDFXAEGGGVR/ADpSGEGDFXAEGGGVR) (unit increase)",2
"295","Blood metabolite ratios (androsterone sulfate/4-androsten-3beta,17beta-diol disulfate 2) (unit increase)",2
"296","Blood metabolite ratios (androsterone sulfate/epiandrosterone sulfate) (unit increase)",1
"297","Blood metabolite ratios (arachidonate (20:4n6)/1-arachidonoylglycerophosphoinositol) (unit increase)",1
"298","Blood metabolite ratios (arachidonate (20:4n6)/dihomo-linolenate (20:3n3 or n6)) (unit increase)",1
"299","Blood metabolite ratios (aspartylphenylalanine/X-14450--phenylalanylleucine) (unit increase)",1
"300","Blood metabolite ratios (betaine/pyroglutamine) (unit increase)",1
"301","Blood metabolite ratios (carnitine/X-12798) (unit increase)",1
"302","Blood metabolite ratios (C-glycosyltryptophan/succinylcarnitine) (unit increase)",1
"303","Blood metabolite ratios (DHEA-S/4-androsten-3beta,17beta-diol disulfate 2) (unit increase)",1
"304","Blood metabolite ratios (docosapentaenoate (n3 DPA; 22:5n3)/X-12627) (unit increase)",1
"305","Blood metabolite ratios (DSGEGDFXAEGGGVR/ADpSGEGDFXAEGGGVR) (unit increase)",3
"306","Blood metabolite ratios (glucose/mannose) (unit increase)",1
"307","Blood metabolite ratios (glutamine/histidine) (unit increase)",1
"308","Blood metabolite ratios (hexanoylcarnitine/octanoylcarnitine) (unit increase)",1
"309","Blood metabolite ratios (indoleacetate/N2,N2-dimethylguanosine) (unit increase)",1
"310","Blood metabolite ratios (isoleucine/X-11529) (unit increase)",1
"311","Blood metabolite ratios (linoleate (18:2n6)/dihomo-linolenate (20:3n3 or n6)) (unit increase)",1
"312","Blood metabolite ratios (linoleate (18:2n6)/X-12442--5,8-tetradecadienoate) (unit increase)",1
"313","Blood metabolite ratios (lysine/glutaroyl carnitine) (unit increase)",2
"314","Blood metabolite ratios (Metabolite ratio 1) (unit increase)",1
"315","Blood metabolite ratios (myristate (14:0)/myristoleate (14:1n5)) (unit increase)",1
"316","Blood metabolite ratios (N-acetylornithine/myo-inositol) (unit increase)",1
"317","Blood metabolite ratios (octanoylcarnitine/X-13435) (unit increase)",1
"318","Blood metabolite ratios (phenyllactate (PLA)/phenylalanine) (unit increase)",1
"319","Blood metabolite ratios (phosphate/erythronate) (unit increase)",1
"320","Blood metabolite ratios (propionylcarnitine/isovalerylcarnitine) (unit increase)",1
"321","Blood metabolite ratios (urate/histidine) (unit increase)",1
"322","Blood metabolite ratios (valine/isovalerylcarnitine) (unit increase)",1
"323","Blood metabolite ratios (valine/proline) (unit increase)",1
"324","Blood metabolite ratios (X-04499--3,4-dihydroxybutyrate/C-glycosyltryptophan) (unit increase)",1
"325","Blood metabolite ratios (X-08402/cholesterol) (unit increase)",1
"326","Blood metabolite ratios (X-10510/palmitoyl sphingomyelin) (unit increase)",1
"327","Blood metabolite ratios (X-11315/pyroglutamine) (unit increase)",1
"328","Blood metabolite ratios (X-11440/4-androsten-3beta,17beta-diol disulfate 2) (unit increase)",1
"329","Blood metabolite ratios (X-11444/X-11470) (unit increase)",1
"330","Blood metabolite ratios (X-11444/X-12844) (unit increase)",1
"331","Blood metabolite ratios (X-11820/cholesterol) (unit increase)",1
"332","Blood metabolite ratios (X-12038/bradykinin, des-arg(9)) (unit increase)",1
"333","Blood metabolite ratios (X-12095--N1-methyl-3-pyridone-4-carboxamide/X-12844) (unit increase)",1
"334","Blood metabolite ratios (X-12798/phenylalanine) (unit increase)",1
"335","Blood metabolite ratios (X-13215/X-13671) (unit increase)",1
"336","Blood pressure measurement (cold pressor test) (MAP, Time 0) (mmHg increase)",1
"337","Blood pressure measurement (cold pressor test) (SBP, Time 0) (mmHg increase)",1
"338","Blood pressure measurement (high sodium and potassium intervention) (DBP, during intervention) (mmHg increase)",2
"339","Blood pressure measurement (high sodium and potassium intervention) (MAP, during intervention) (mmHg increase)",1
"340","Blood pressure measurement (high sodium and potassium intervention) (SBP, during intervention) (mmHg increase)",1
"341","Blood pressure measurement (high sodium intervention) (SBP, during intervention) (mmHg increase)",1
"342","Blood pressure measurement (low sodium intervention) (MAP, during intervention) (mmHg increase)",2
"343","Blood pressure measurement (low sodium intervention) (SBP, response to intervention) (mmHg increase)",1
"344","Blood pressure (mm Hg increase) (Diastolic) (mm Hg increase)",5
"345","Blood pressure (mmHg increase) (EA, DBP, Age 20-29) (mmHg increase)",1
"346","Blood pressure (mmHg increase) (EA, MAP, Age 40-49) (mmHg increase)",1
"347","Blood pressure (mmHg increase) (EA, MAP, Age 50-59) (mmHg increase)",1
"348","Blood pressure (mmHg increase) (EA, SBP, Age 50-59) (mmHg increase)",1
"349","Blood pressure (mmHg increase) (Mean Arterial Pressure) (mmHg increase)",21
"350","Blood pressure (mmHg increase) (Pulse Pressure) (mmHg increase)",7
"351","Blood pressure (mm Hg increase) (Systolic) (mm Hg increase)",4
"352","Blood pressure (SBPLTA) (NA)",1
"353","Blood pressure (smoking interaction) (SBP,Pack-years) (NA)",3
"354","Blood pressure (unit increase) (DBP) (unit increase)",4
"355","Blood pressure (unit increase) (SBP) (unit increase)",1
"356","Blood trace element (Cu levels) (unit increase)",2
"357","Blood trace element (Se levels) (NA)",1
"358","Blood trace element (Se levels) (unit increase) (unit increase)",1
"359","Blood trace element (Zn levels) (unit increase)",3
"360","Blue vs. brown eyes (NA)",1
"361","Blue vs. green eyes (NA)",4
"362","Body mass in chronic obstructive pulmonary disease (NA)",1
"363","Body mass index (change over time) (females) (unit increase)",1
"364","Body mass index in asthmatics (NA)",1
"365","Body mass index (% increase) (% increase)",4
"366","Body mass index (kg/m2 increase) (EA) (kg/m2 increase)",2
"367","Body mass index (kg/m2 increase) (EA, men) (kg/m2 increase)",1
"368","Body mass index (kg/m2 increase) (EA, women) (kg/m2 increase)",1
"369","Body mass index (kg/m2 increase) (kg/m2 increase)",54
"370","Body mass index (NA)",5
"371","Body mass index (% SD increase) (% SD increase)",8
"372","Body mass index (unit increase) (AA and Sub-Saharan) (unit increase)",3
"373","Body mass index (unit increase) (discovery + validation) (unit increase)",1
"374","Body mass index (unit increase) (rs11142387-C) (unit increase)",1
"375","Body mass index (unit increase) (unit increase)",23
"376","Body mass index (z score increase) (z score increase)",1
"377","Body mass (lean) (kg increase) (kg increase)",1
"378","Body mass (lean) (NA)",1
"379","Bone mineral density (FNK) (NA)",2
"380","Bone mineral density (hip) (NA)",3
"381","Bone mineral density (hip) (s.d. increase)",14
"382","Bone mineral density (mg/cm3 increase) (mg/cm3 increase)",2
"383","Bone mineral density (NA)",1
"384","Bone mineral density (paediatric, lower limb) (unit increase)",5
"385","Bone mineral density (paediatric, skull) (unit increase)",8
"386","Bone mineral density (paediatric, total body less head) (unit increase)",7
"387","Bone mineral density (paediatric, upper limb) (unit increase)",5
"388","Bone mineral density (SD increase) (SD increase)",1
"389","Bone mineral density (spine) (NA)",7
"390","Bone mineral density (spine) (s.d. increase)",21
"391","Bone mineral density (unit increase) (Conditional on rs917727) (unit increase)",1
"392","Bone mineral density (unit increase) (Cortical vBMD) (unit increase)",3
"393","Bone mineral density (unit increase) (femoral neck) (unit increase)",1
"394","Bone mineral density (unit increase) (FNBMD) (unit increase)",27
"395","Bone mineral density (unit increase) (hip, female) (unit increase)",1
"396","Bone mineral density (unit increase) (LSBMD) (unit increase)",31
"397","Bone mineral density (unit increase) (spine) (unit increase)",1
"398","Bone mineral density (unit increase) (Trabecular vBMD) (unit increase)",1
"399","Bone mineral density (unit increase) (unit increase)",2
"400","Bone properties (heel) (unit increase) (BUA) (unit increase)",4
"401","Bone properties (heel) (unit increase) (VOS) (unit increase)",5
"402","Brain connectivity (Clustering coefficient - L-isthmus of the cingulate) (NA)",1
"403","Brain connectivity (Clustering coefficient - R-insula) (NA)",2
"404","Brain connectivity (Strength - L-inferior parietal) (NA)",1
"405","Brain connectivity (Strength - L-transverse temporal) (NA)",1
"406","Brain connectivity (Strength - R-banks of the superior temporal sulcus) (NA)",1
"407","Brain connectivity (strength - R-inferior parietal) (NA)",1
"408","Brain connectivity (Strength - R paracentral) (NA)",1
"409","Brain connectivity (Strength - R-pars opercularis) (NA)",2
"410","Brain connectivity (unit increase) (unit increase)",1
"411","Brain structure (mm3 increase) (Intracranial volume) (mm3 increase)",1
"412","Brain structure (mm3 increase) (Mean bilateral hippocampal volume) (mm3 increase)",1
"413","Breast cancer (all races combined) (NA)",1
"414","Breast cancer (early onset) (NA)",18
"415","Breast cancer (East Asian) (NA)",3
"416","Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative) (NA)",2
"417","Breast Cancer in BRCA1 mutation carriers (NA)",2
"418","Breast cancer in BRCA2 mutation carriers (NA)",1
